County,Lat,Long
Albany,42.6,-73.9662
Broome,42.15,-75.833
Chemung,42.15,-76.7663
Chenango,42.4667,-75.583
Clinton,44.7334,-73.6829
Columbia,42.25,-73.6496
Cortland,42.6,-76.083
Delaware,42.2,-74.9663
Dutchess,41.7668,-73.7329
Essex,44.1,-73.8162
Livingston,42.7334,-77.7664
LongIsland,40.8668,-72.7995
Madison,42.9334,-75.6496
Monroe,43.15,-77.6831
Montgomery,42.8834,-74.4162
NewYork,40.7834,-73.9662
Onondaga,43.0001,-76.1663
Ontario,42.8667,-77.3164
Oswego,43.45,-76.1496
Otsego,42.6334,-75.0163
Rensselaer,42.7167,-73.4829
Rockland,41.1668,-74.0496
SaintLawrence,44.5,-75.1163
Saratoga,43.1,-73.8496
Schenectady,42.8334,-74.0829
Schoharie,42.5667,-74.4663
Tompkins,42.45,-76.4663
Washington,43.3334,-73.4329
Wayne,43.15,-77.033
Westchester,41.1168,-73.7996
Yates,42.6167,-77.1
