Source/Sink,Albany,Broome,Chemung,Chenango,Clinton,Columbia,Cortland,Delaware,Dutchess,Essex,Livingston,LongIsland,Madison,Monroe,Montgomery,NewYork,Onondaga,Ontario,Oswego,Otsego,Rensselaer,Rockland,SaintLawrence,Saratoga,Schenectady,Schoharie,Tompkins,Washington,Wayne,Westchester,Yates
Albany,0,1,0,1,1,1,1,0,1,1,0,1,0,0,0,0,3,0,0,0,1,1,0,0,1,1,1,0,0,0,1
Broome,1,0,0,1,0,1,1,0,1,1,0,2,0,1,0,0,2,0,0,1,0,1,1,0,0,1,0,0,1,0,0
Chemung,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1,2,0
Chenango,1,1,0,0,0,1,1,0,1,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0
Clinton,1,0,0,0,0,1,1,0,1,1,0,1,0,0,0,1,1,0,0,0,1,1,0,0,1,1,1,0,0,0,1
Columbia,1,1,1,1,1,0,1,0,1,1,0,2,0,0,1,1,2,0,1,0,1,1,0,1,0,1,1,0,1,1,1
Cortland,1,1,0,1,1,1,0,0,1,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0
Delaware,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,1,0,0,0,1,1,0,1,0
Dutchess,1,1,0,1,1,1,1,0,0,1,0,2,0,0,1,1,2,0,0,0,1,1,0,0,1,1,1,0,0,0,1
Essex,1,1,0,1,1,1,1,0,1,0,0,1,0,0,1,1,1,0,0,0,1,1,1,0,1,1,1,0,0,0,1
Livingston,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
LongIsland,1,1,1,0,1,1,0,1,1,1,0,0,0,1,1,2,5,0,1,1,1,1,2,1,1,1,2,1,1,2,1
Madison,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Monroe,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0
Montgomery,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,1,1,0,0,0,1,1,1,0,0,1,1,0,0,0,1
NewYork,0,0,0,0,1,1,0,1,1,1,0,2,0,0,1,0,1,0,0,0,1,1,1,0,0,1,1,0,0,1,1
Onondaga,3,2,0,1,1,1,1,1,2,1,0,8,0,1,1,1,0,0,0,1,1,1,3,0,1,1,2,1,1,2,1
Ontario,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Oswego,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,1,0
Otsego,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0
Rensselaer,1,0,1,0,1,1,1,0,1,1,0,2,0,0,1,1,1,0,1,0,0,1,0,1,0,1,1,0,1,1,1
Rockland,1,1,0,1,1,1,0,0,1,1,0,2,0,0,1,1,1,0,0,1,1,0,1,0,0,1,1,0,0,0,1
SaintLawrence,0,1,0,0,0,0,0,1,0,1,0,3,0,1,1,1,3,0,0,1,0,1,0,0,0,0,2,1,1,1,1
Saratoga,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,1,0
Schenectady,1,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Schoharie,1,1,0,1,1,1,0,0,1,1,0,1,0,0,1,1,1,0,0,0,1,1,0,0,0,0,1,0,0,0,1
Tompkins,1,0,0,0,1,1,1,1,1,1,0,2,0,0,1,1,2,0,0,0,1,1,2,0,0,1,0,1,0,1,1
Washington,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0
Wayne,0,1,1,0,0,1,0,0,0,0,0,2,0,1,0,0,1,0,1,1,1,0,1,1,0,0,0,0,0,1,0
Westchester,0,0,2,0,0,1,0,1,0,0,0,2,0,0,0,1,2,0,1,0,1,0,1,1,0,0,1,1,1,0,0
Yates,1,0,0,0,1,1,0,0,1,1,0,1,0,0,1,1,1,0,0,0,1,1,1,0,0,1,1,0,0,0,0
